Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
40,Malik Beasley\beaslma01,SG,24,MIN,33,1093,0.455,0.508,0.406,0.56,0.847,0.582,0.131,0.52,98,96,110,104,109,102,53,132,24.8,11.9
41,Jordan Bell\belljo01,C,26,WAS,3,50,0.333,0.385,0,0.333,,0.333,0,0.133,72,73,,62,,58,,34,-6.1,-7.2
42,DeAndre' Bembry\bembrde01,SF,26,TOR,26,423,0.588,0.661,0.381,0.637,0.7,0.653,0.25,0.263,126,125,103,119,90,114,101,67,16,14.5
43,Dāvis Bertāns\bertada01,PF,28,WAS,29,756,0.385,0.393,0.384,0.556,0.859,0.598,0.254,0.889,83,74,104,103,110,105,102,225,9.1,14.7
44,Patrick Beverley\beverpa01,PG,32,LAC,27,653,0.437,0.482,0.414,0.575,0.784,0.603,0.222,0.665,94,91,112,107,101,105,89,168,12.5,11.4
45,Saddiq Bey\beysa01,SF,21,DET,33,743,0.413,0.442,0.4,0.552,0.846,0.586,0.206,0.694,89,84,109,103,109,102,83,176,7.1,7.7
46,Tyler Bey\beyty01,SF,22,DAL,4,13,0.4,0.4,,0.4,0.5,0.444,0.8,0,86,76,,74,64,78,322,,-1.4,-1.7
47,Khem Birch\birchkh01,C,28,ORL,35,703,0.497,0.514,0.308,0.51,0.739,0.565,0.451,0.085,107,97,83,95,95,99,181,22,-8.5,-2.6
48,Goga Bitadze\bitadgo01,C,21,IND,16,148,0.511,0.688,0.133,0.532,0.769,0.569,0.277,0.319,110,130,36,99,99,100,111,81,-0.5,-0.3
49,Bismack Biyombo\biyombi01,C,28,CHO,33,736,0.569,0.574,0,0.569,0.483,0.566,0.438,0.007,123,109,,106,62,99,176,2,8.7,-1.8
50,Nemanja Bjelica\bjeline01,PF,32,SAC,18,315,0.491,0.606,0.309,0.551,0.789,0.597,0.352,0.389,106,115,84,103,101,104,141,99,2.9,6.4
51,Eric Bledsoe\bledser01,SG,31,NOP,34,1012,0.437,0.486,0.385,0.531,0.667,0.551,0.218,0.487,94,92,104,99,86,96,88,124,-4.7,-16.4
52,Keljin Blevins\blevike01,SF,25,POR,9,47,0.182,0.286,0,0.182,,0.182,0,0.364,39,54,,34,,32,,92,-7.8,-8.6
53,Bogdan Bogdanović\bogdabo01,SG,28,ATL,11,249,0.385,0.5,0.343,0.511,0.909,0.537,0.121,0.736,83,95,93,95,117,94,49,187,-4.8,-6.6
54,Bojan Bogdanović\bogdabo02,SF,31,UTA,36,1102,0.432,0.466,0.405,0.545,0.852,0.587,0.248,0.556,93,88,110,101,109,103,100,141,6.4,14.3
55,Bol Bol\bolbo01,PF,21,DEN,15,84,0.5,0.5,0.5,0.614,0.5,0.612,0.091,0.455,108,95,136,114,64,107,37,115,3.4,1.8
56,Marques Bolden\boldema01,C,22,CLE,6,29,0.333,0.333,,0.333,0.625,0.537,2.667,0,72,63,,62,80,94,1072,,-1.2,-0.5
57,Jordan Bone\bonejo01,PG,23,ORL,14,196,0.426,0.591,0.312,0.519,,0.518,0,0.593,92,112,85,96,,91,,150,-2,-5.7
58,Isaac Bonga\bongais01,SF,21,WAS,22,271,0.378,0.438,0.345,0.489,0.75,0.503,0.089,0.644,81,83,94,91,96,88,36,163,-4.4,-6.5
59,Devin Booker\bookede01,SG,24,PHO,30,1020,0.503,0.562,0.367,0.559,0.842,0.605,0.297,0.306,108,107,100,104,108,106,119,77,23.6,41.2
