Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
162,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,29,983,0.508,0.554,0.41,0.574,0.788,0.624,0.421,0.321,109,105,111,107,101,109,169,81,32.4,55.6
163,Anthony Gill\gillan01,PF,28,WAS,12,67,0.3,0.667,0.143,0.35,0.75,0.425,0.4,0.7,65,126,39,65,96,74,161,177,-3.7,-3.4
164,Rudy Gobert\goberru01,C,28,UTA,36,1105,0.64,0.643,0,0.641,0.599,0.649,0.644,0.003,138,122,,119,77,114,259,1,63.1,61
165,Brandon Goodwin\goodwbr01,PG,25,ATL,24,289,0.33,0.377,0.283,0.401,0.708,0.438,0.226,0.5,71,72,77,75,91,77,91,127,-28.9,-31.3
166,Aaron Gordon\gordoaa01,PF,25,ORL,19,552,0.427,0.465,0.369,0.5,0.613,0.528,0.376,0.394,92,88,100,93,79,92,151,100,-16,-21.8
167,Eric Gordon\gordoer01,SG,32,HOU,26,763,0.437,0.584,0.328,0.531,0.836,0.582,0.314,0.574,94,111,89,99,107,102,126,146,-4.2,8.5
168,Devonte' Graham\grahade01,PG,25,CHO,25,821,0.352,0.361,0.346,0.465,0.775,0.503,0.229,0.652,76,68,94,86,100,88,92,165,-45.2,-47.2
169,Jerami Grant\grantje01,SF,26,DET,33,1194,0.433,0.477,0.363,0.503,0.889,0.571,0.353,0.381,93,90,99,94,114,100,142,96,-40.9,-1.1
170,Danny Green\greenda02,SF,33,PHI,36,1018,0.393,0.456,0.376,0.541,0.65,0.547,0.074,0.789,84,86,102,101,84,96,30,200,1.8,-13.8
171,Draymond Green\greendr01,PF,30,GSW,31,918,0.391,0.47,0.237,0.431,0.711,0.464,0.218,0.339,84,89,64,80,91,81,88,86,-37,-41.1
172,JaMychal Green\greenja01,PF,30,DEN,25,512,0.444,0.464,0.427,0.558,0.844,0.587,0.178,0.533,96,88,116,104,108,103,71,135,7.5,6.1
173,Javonte Green\greenja02,SG,27,BOS,22,330,0.549,0.653,0.318,0.599,0.667,0.624,0.422,0.31,118,124,86,111,86,109,170,79,8.7,8.7
174,Jeff Green\greenje02,C,34,BRK,33,870,0.507,0.598,0.422,0.617,0.796,0.642,0.22,0.52,109,113,115,115,102,112,88,132,35.3,34.4
175,Josh Green\greenjo02,SG,20,DAL,17,212,0.472,0.625,0.167,0.5,0.545,0.514,0.306,0.333,102,118,45,93,70,90,123,84,-2.7,-4.7
176,Blake Griffin\griffbl01,PF,31,DET,20,626,0.365,0.429,0.315,0.453,0.71,0.491,0.279,0.559,79,81,85,84,91,86,112,142,-37.6,-40
177,Kyle Guy\guyky01,PG,23,SAC,14,115,0.318,0.4,0.25,0.386,0.875,0.431,0.182,0.545,68,76,68,72,112,75,73,138,-13.3,-13.3
178,Rui Hachimura\hachiru01,PF,22,WAS,26,781,0.456,0.51,0.298,0.494,0.769,0.545,0.349,0.257,98,97,81,92,99,95,140,65,-22.5,-16.2
179,Ashton Hagans\haganas01,PG,21,MIN,2,4,,,,,,,,,,,,,,,,,0,0
180,Tyrese Haliburton\halibty01,PG,20,SAC,30,903,0.493,0.562,0.433,0.608,0.833,0.619,0.077,0.529,106,106,117,113,107,108,31,134,43.8,30.5
181,Josh Hall\halljo01,SF,20,OKC,7,51,0.222,0.3,0.125,0.25,0.429,0.285,0.389,0.444,48,57,34,47,55,50,156,113,-10.3,-12.1
182,R.J. Hampton\hamptrj01,PG,19,DEN,24,220,0.414,0.475,0.278,0.457,0.7,0.481,0.172,0.31,89,90,75,85,90,84,69,79,-9.3,-11.3
183,Tim Hardaway Jr.\hardati02,SG,28,DAL,33,975,0.438,0.511,0.385,0.55,0.802,0.577,0.187,0.581,94,97,104,102,103,101,75,147,10.5,5
184,James Harden\hardeja01,SG-PG,31,TOT,31,1173,0.484,0.562,0.401,0.581,0.859,0.642,0.412,0.487,104,107,109,108,110,112,166,124,45.3,85.7
185,James Harden\hardeja01,SG,31,HOU,8,290,0.444,0.556,0.347,0.537,0.883,0.613,0.444,0.533,96,105,94,100,113,107,179,135,-0.1,13.5
186,James Harden\hardeja01,PG,31,BRK,23,883,0.497,0.564,0.422,0.597,0.85,0.652,0.401,0.471,107,107,115,111,109,114,161,119,45.4,72.3
187,Maurice Harkless\harklma01,SF,27,MIA,10,109,0.4,0,0.5,0.6,0,0.551,0.2,0.8,86,,136,112,,96,80,203,1.3,-0.4
188,Jared Harper\harpeja01,PG,23,NYK,2,5,0,0,,0,1,0.532,2,0,,,,,128,93,804,,-1.1,-0.1
189,Montrezl Harrell\harremo01,C,27,LAL,37,891,0.626,0.637,0,0.626,0.756,0.658,0.368,0.018,135,121,,116,97,115,148,5,59,67.2
190,Gary Harris\harriga01,SG,26,DEN,19,581,0.442,0.556,0.32,0.519,0.733,0.544,0.192,0.481,95,105,87,97,94,95,77,122,-5.7,-9.5
191,Jalen Harris\harrija01,SG,22,TOR,2,4,,,,,,,,,,,,,,,,,0,0
192,Joe Harris\harrijo01,SF,29,BRK,37,1144,0.53,0.577,0.506,0.697,0.7,0.7,0.079,0.657,114,109,137,130,90,122,32,167,120.6,100.6
193,Shaquille Harrison\harrish01,SG,27,UTA,17,56,0.3,0.333,0,0.3,0.833,0.375,0.3,0.1,65,63,,56,107,66,121,25,-9.5,-8.9
194,Tobias Harris\harrito02,PF,28,PHI,31,1066,0.513,0.554,0.402,0.567,0.887,0.607,0.226,0.27,110,105,109,106,114,106,91,68,27.8,36.3
195,Isaiah Hartenstein\harteis01,C,22,DEN,25,232,0.493,0.493,,0.493,0.594,0.522,0.438,0,106,93,,92,76,91,176,,-6.5,-8.6
196,Josh Hart\hartjo01,SF,25,NOP,35,991,0.453,0.6,0.343,0.551,0.739,0.581,0.265,0.571,97,114,93,103,95,102,107,145,6.7,5.2
197,Jaxson Hayes\hayesja02,C,20,NOP,24,290,0.682,0.682,,0.683,0.655,0.693,0.46,0,147,129,,127,84,121,185,,18.3,18.4
198,Killian Hayes\hayeski01,PG,19,DET,7,148,0.277,0.296,0.25,0.33,0.5,0.334,0.043,0.425,60,56,68,61,64,58,17,108,-19.5,-22.7
199,Gordon Hayward\haywago01,SF,30,CHO,31,1080,0.487,0.525,0.405,0.551,0.857,0.595,0.264,0.314,105,99,110,102,110,104,106,80,13.3,26
200,Juan Hernangómez\hernaju01,PF,25,MIN,17,271,0.4,0.54,0.302,0.489,0.684,0.513,0.211,0.589,86,102,82,91,88,90,85,149,-8.7,-11.5
201,Willy Hernangómez\hernawi01,C,26,NOP,20,359,0.545,0.562,0.2,0.55,0.667,0.576,0.327,0.045,117,107,54,102,86,101,132,12,2.8,1.1
202,Tyler Herro\herroty01,SG,21,MIA,24,791,0.443,0.508,0.352,0.516,0.772,0.541,0.168,0.419,95,96,96,96,99,95,68,106,-14.4,-22.3
203,Buddy Hield\hieldbu01,SG,28,SAC,35,1216,0.388,0.417,0.377,0.526,0.844,0.549,0.131,0.731,83,79,102,98,108,96,53,185,-11.7,-23.4
204,George Hill\hillge01,PG,34,OKC,14,369,0.508,0.619,0.386,0.6,0.84,0.63,0.208,0.475,109,117,105,112,108,110,84,120,15,15.2
205,Solomon Hill\hillso01,PF,29,ATL,36,686,0.356,0.462,0.318,0.473,0.882,0.498,0.114,0.738,77,87,86,88,113,87,46,187,-19.2,-22.9
206,Nate Hinton\hintona01,SG,21,DAL,6,19,0.231,0.25,0.2,0.269,0.5,0.288,0.154,0.385,50,47,54,50,64,50,62,97,-7,-7.9
207,Aaron Holiday\holidaa01,PG,24,IND,34,658,0.371,0.385,0.352,0.445,0.725,0.469,0.158,0.415,80,73,96,83,93,82,64,105,-46.9,-55.4
208,Jrue Holiday\holidjr01,PG,30,MIL,25,783,0.493,0.573,0.364,0.563,0.756,0.581,0.145,0.381,106,109,99,105,97,102,58,96,15.8,5.9
209,Justin Holiday\holidju01,SG,31,IND,34,1103,0.454,0.558,0.411,0.599,0.82,0.622,0.171,0.707,98,106,111,111,105,109,69,179,36.1,31.8
210,Richaun Holmes\holmeri01,C,27,SAC,31,912,0.658,0.669,0.167,0.66,0.806,0.687,0.274,0.023,142,127,45,123,104,120,110,6,64.3,68.1
211,Rodney Hood\hoodro01,SF,28,POR,29,559,0.368,0.412,0.303,0.429,0.625,0.435,0.049,0.405,79,78,82,80,80,76,20,103,-35.2,-45.4
212,Al Horford\horfoal01,C,34,OKC,24,677,0.442,0.506,0.356,0.518,0.778,0.527,0.058,0.423,95,96,97,96,100,92,23,107,-12.4,-28.8
213,Talen Horton-Tucker\hortota01,SG,20,LAL,33,576,0.441,0.507,0.286,0.484,0.821,0.517,0.183,0.296,95,96,78,90,105,90,74,75,-23,-25.2
214,Danuel House\houseda01,SF,27,HOU,22,602,0.375,0.467,0.312,0.467,0.757,0.499,0.201,0.592,81,88,85,87,97,87,81,150,-25.8,-29
215,Dwight Howard\howardw01,C,35,PHI,36,574,0.587,0.606,0.364,0.601,0.53,0.602,0.725,0.08,126,115,99,112,68,105,291,20,17.7,10.9
216,Markus Howard\howarma02,SG,21,DEN,17,55,0.194,0.333,0.136,0.242,0.5,0.251,0.065,0.71,42,63,37,45,64,44,26,180,-18.3,-20.4
217,Kevin Huerter\huertke01,SG,22,ATL,36,1157,0.426,0.5,0.365,0.526,0.824,0.541,0.088,0.545,92,95,99,98,106,95,35,138,-9,-24.6
218,Elijah Hughes\hugheel01,SF,22,UTA,6,27,0.333,0.4,0.3,0.433,0.75,0.477,0.267,0.667,72,76,81,81,96,83,107,169,-3.1,-3.2
219,De'Andre Hunter\huntede01,SF,23,ATL,18,579,0.514,0.609,0.366,0.586,0.877,0.64,0.348,0.391,111,116,99,109,113,112,140,99,20.3,33.2
220,Chandler Hutchison\hutchch01,SF,24,CHI,7,64,0.278,0.267,0.333,0.306,1,0.344,0.111,0.167,60,51,90,57,128,60,45,42,-8.3,-8.6
221,Serge Ibaka\ibakase01,C,31,LAC,36,869,0.511,0.579,0.359,0.566,0.818,0.587,0.133,0.311,110,110,97,105,105,103,53,79,19.2,10.4
222,Andre Iguodala\iguodan01,SF,37,MIA,33,712,0.39,0.545,0.343,0.521,0.529,0.525,0.121,0.766,84,103,93,97,68,92,48,194,-4.6,-13.8
223,Joe Ingles\inglejo01,SF,33,UTA,32,846,0.522,0.653,0.465,0.684,0.895,0.705,0.155,0.694,112,124,126,127,115,123,62,176,71.7,69.8
224,Brandon Ingram\ingrabr01,SF,23,NOP,35,1222,0.472,0.52,0.379,0.537,0.885,0.589,0.286,0.344,101,99,103,100,114,103,115,87,-0.6,25.3
225,Kyrie Irving\irvinky01,PG,28,BRK,26,924,0.51,0.564,0.411,0.583,0.887,0.617,0.201,0.351,110,107,111,108,114,108,81,89,47.5,52.1
226,Wesley Iwundu\iwundwe01,SF,26,DAL,20,246,0.298,0.458,0.13,0.33,0.818,0.386,0.234,0.489,64,87,35,61,105,67,94,124,-19.5,-19.3
227,Frank Jackson\jacksfr01,PG,22,DET,9,54,0.273,0.222,0.308,0.364,,0.364,0,0.591,59,42,83,68,,64,,150,-7.6,-9.2
228,Josh Jackson\jacksjo02,SG,23,DET,32,797,0.425,0.511,0.291,0.482,0.694,0.521,0.334,0.39,92,97,79,90,89,91,134,99,-40.1,-41.8
229,Justin Jackson\jacksju01,SF,25,OKC,24,393,0.414,0.536,0.303,0.493,0.8,0.517,0.138,0.524,89,102,82,92,103,90,55,133,-12.9,-16.8
230,Reggie Jackson\jacksre01,SG,30,LAC,34,681,0.454,0.496,0.404,0.546,0.756,0.568,0.171,0.454,98,94,110,102,97,99,69,115,4,-2
231,Justin James\jamesju01,SF,24,SAC,13,69,0.391,0.5,0.222,0.435,0.25,0.415,0.348,0.391,84,95,60,81,32,73,140,99,-4.7,-8.3
232,LeBron James\jamesle01,PG,36,LAL,36,1245,0.509,0.591,0.358,0.572,0.692,0.597,0.303,0.349,110,112,97,106,89,104,122,89,47.5,39.9
233,DaQuan Jeffries\jeffrda01,SG,23,SAC,11,182,0.423,0.5,0.333,0.5,0.857,0.526,0.135,0.462,91,95,90,93,110,92,54,117,-3.9,-5
234,Ty Jerome\jeromty01,SG,23,OKC,3,80,0.577,0.727,0.467,0.712,,0.712,0,0.577,124,138,127,132,,124,,146,9.1,7.3
235,Isaiah Joe\joeis01,SG,21,PHI,20,240,0.367,0.316,0.383,0.513,1,0.53,0.063,0.759,79,60,104,95,128,93,25,192,-3.9,-6.8
236,Cameron Johnson\johnsca02,PF,24,PHO,34,823,0.437,0.559,0.378,0.565,0.865,0.587,0.129,0.675,94,106,103,105,111,103,52,171,15.6,9.4
237,James Johnson\johnsja01,PF,33,DAL,27,484,0.464,0.61,0.259,0.518,0.538,0.525,0.186,0.414,100,116,70,96,69,92,75,105,-5.5,-14.1
238,Keldon Johnson\johnske04,SF,21,SAS,28,823,0.471,0.522,0.329,0.514,0.778,0.559,0.315,0.261,101,99,89,96,100,98,127,66,-14.5,-8.8
239,Stanley Johnson\johnsst04,PF,24,TOR,31,406,0.377,0.385,0.372,0.493,0.786,0.525,0.203,0.623,81,73,101,92,101,92,82,158,-6.2,-6.9
240,Tyler Johnson\johnsty01,SG,28,BRK,18,250,0.389,0.333,0.412,0.535,1,0.559,0.097,0.708,84,63,112,99,128,98,39,180,-0.4,-1.8
241,Nikola Jokić\jokicni01,C,25,DEN,35,1256,0.569,0.608,0.417,0.612,0.885,0.655,0.281,0.203,122,115,113,114,114,115,113,51,96.3,121.8
242,Damian Jones\jonesda03,C,25,TOT,17,125,0.619,0.65,0,0.619,0.615,0.636,0.619,0.048,133,123,,115,79,111,249,12,3.4,3.5
243,Damian Jones\jonesda03,C,25,PHO,14,94,0.5,0.533,0,0.5,0.545,0.528,0.688,0.062,108,101,,93,70,92,276,16,-1.2,-1.8
244,Damian Jones\jonesda03,C,25,LAL,3,31,1,1,,1,1,1.02,0.4,0,215,190,,186,128,178,161,,4.6,5.3
245,Derrick Jones Jr.\jonesde02,SF,23,POR,30,810,0.503,0.631,0.329,0.573,0.627,0.59,0.33,0.425,108,120,89,107,81,103,133,108,12.6,7.7
246,Mason Jones\jonesma05,SG,22,HOU,22,244,0.437,0.526,0.367,0.54,0.651,0.576,0.494,0.563,94,100,100,101,84,101,199,143,0.5,0.9
247,Tre Jones\jonestr01,PG,21,SAS,12,43,0.6,0.571,1,0.633,1,0.698,0.333,0.067,129,108,271,118,128,122,134,17,2.9,4.3
248,Tyus Jones\jonesty01,PG,24,MEM,31,678,0.439,0.512,0.293,0.488,0.85,0.504,0.082,0.336,94,97,79,91,109,88,33,85,-24.3,-34
249,DeAndre Jordan\jordade01,C,32,BRK,35,799,0.762,0.767,0,0.762,0.518,0.737,0.371,0.007,164,145,,142,67,129,149,2,67.7,58.2
250,Cory Joseph\josepco01,PG,29,SAC,35,719,0.443,0.512,0.324,0.503,0.771,0.53,0.182,0.37,95,97,88,94,99,93,73,94,-13.4,-17.1
251,Mfiondu Kabengele\kabenmf01,PF,23,LAC,20,81,0.269,0.364,0.2,0.327,0.75,0.36,0.154,0.577,58,69,54,61,96,63,62,146,-10.9,-11.7
252,Frank Kaminsky\kaminfr01,C,27,PHO,26,403,0.453,0.475,0.419,0.534,0.586,0.544,0.18,0.385,98,90,114,99,75,95,72,98,-1.1,-9.7
253,Enes Kanter\kanteen01,C,28,POR,34,885,0.587,0.587,,0.587,0.75,0.617,0.297,0,126,111,,109,96,108,119,,27.8,29.2
254,Luke Kennard\kennalu01,SG,24,LAC,33,663,0.456,0.477,0.44,0.579,0.867,0.593,0.077,0.559,98,90,120,108,111,104,31,142,16.4,8.5
255,Maxi Kleber\klebima01,PF,29,DAL,22,569,0.44,0.407,0.451,0.61,0.957,0.651,0.211,0.752,95,77,122,114,123,114,85,191,15.8,18.8
256,Nathan Knight\knighna01,PF,23,ATL,10,58,0.391,0.429,0.333,0.457,0.875,0.528,0.348,0.391,84,81,90,85,112,92,140,99,-3.7,-2.3
257,Kevin Knox\knoxke01,SF,21,NYK,26,397,0.395,0.404,0.389,0.513,0.786,0.531,0.118,0.605,85,77,106,95,101,93,47,153,-5.9,-10.1
258,John Konchar\konchjo01,SG,24,MEM,19,308,0.424,0.488,0.304,0.477,0.889,0.534,0.273,0.348,91,93,83,89,114,93,110,88,-7.9,-5.5
259,Furkan Korkmaz\korkmfu01,SG,23,PHI,25,467,0.383,0.448,0.345,0.492,0.8,0.52,0.167,0.628,82,85,94,91,103,91,67,159,-16.5,-19.9
260,Luke Kornet\kornelu01,PF,25,CHI,10,83,0.346,0.75,0.273,0.462,1,0.484,0.077,0.846,74,142,74,86,128,85,31,214,-3.9,-4.7
261,Rodions Kurucs\kurucro01,SF-PF,22,TOT,16,91,0.25,0.429,0.176,0.312,0.5,0.322,0.083,0.708,54,81,48,58,64,56,34,180,-10.8,-12.4
262,Rodions Kurucs\kurucro01,PF,22,BRK,5,16,0.333,0,0.5,0.5,,0.5,0,0.667,72,,136,93,,87,,169,-0.2,-0.4
263,Rodions Kurucs\kurucro01,SF,22,HOU,11,75,0.238,0.5,0.133,0.286,0.5,0.297,0.095,0.714,51,95,36,53,64,52,38,181,-10.6,-12
264,Kyle Kuzma\kuzmaky01,SF,25,LAL,36,932,0.444,0.519,0.365,0.533,0.632,0.541,0.104,0.488,95,98,99,99,81,95,42,124,-3.3,-23.4
265,Jeremy Lamb\lambje01,SG,28,IND,20,470,0.494,0.518,0.466,0.603,0.939,0.659,0.314,0.468,106,98,126,112,121,115,126,119,20.3,31
266,Zach LaVine\lavinza01,SG,25,CHI,34,1209,0.525,0.588,0.435,0.615,0.857,0.653,0.273,0.414,113,112,118,114,110,114,110,105,103,121.8
267,Jake Layman\laymaja01,SF,26,MIN,24,372,0.513,0.647,0.319,0.578,0.778,0.607,0.235,0.409,110,123,87,108,100,106,94,104,9.4,8.9
268,Jalen Lecque\lecquja01,PG,20,IND,3,9,0.25,0.333,0,0.25,1,0.47,0.75,0.25,54,63,,47,128,82,302,63,-2.3,-1.1
269,Damion Lee\leeda03,SG,28,GSW,36,688,0.444,0.676,0.381,0.594,0.903,0.625,0.181,0.784,96,128,103,110,116,109,73,199,19.2,19.9
270,Saben Lee\leesa01,PG,21,DET,14,216,0.569,0.559,0.667,0.6,0.657,0.628,0.538,0.092,122,106,181,112,84,110,217,23,8.1,9.1
271,Alex Len\lenal01,C,27,TOT,26,352,0.628,0.727,0.3,0.663,0.571,0.66,0.488,0.233,135,138,81,123,73,116,196,59,21.6,18.5
272,Alex Len\lenal01,C,27,TOR,7,76,0.5,0.5,0.5,0.65,0.5,0.633,0.6,0.6,108,95,136,121,64,111,241,152,2.3,1.5
273,Alex Len\lenal01,C,27,WAS,19,276,0.645,0.742,0.214,0.664,0.583,0.664,0.474,0.184,139,141,58,124,75,116,190,47,19.3,17
274,Kawhi Leonard\leonaka01,SF,29,LAC,29,1007,0.511,0.556,0.389,0.564,0.874,0.619,0.332,0.272,110,105,106,105,112,108,134,69,29,58.9
275,Meyers Leonard\leoname01,C,28,MIA,3,29,0.429,,0.429,0.643,0.5,0.634,0.286,1,92,,116,120,64,111,115,253,1.5,1
276,Caris LeVert\leverca01,SG,26,BRK,12,334,0.435,0.474,0.349,0.49,0.765,0.516,0.17,0.315,94,90,95,91,98,90,68,80,-19,-23.8
277,Kira Lewis Jr.\lewiski01,PG,19,NOP,20,256,0.374,0.391,0.343,0.434,0.65,0.459,0.202,0.353,80,74,93,81,84,80,81,90,-20.4,-24.3
278,Damian Lillard\lillada01,PG,30,POR,33,1185,0.443,0.517,0.378,0.544,0.93,0.614,0.358,0.535,95,98,103,101,120,107,144,136,8.9,66.5
279,Nassir Little\littlna01,PF,20,POR,19,221,0.5,0.517,0.485,0.629,0.857,0.674,0.339,0.532,108,98,132,117,110,118,136,135,11.4,14.5
280,Kevon Looney\looneke01,C,24,GSW,26,388,0.6,0.615,0.4,0.614,0.762,0.644,0.3,0.071,129,117,109,114,98,113,121,18,10.8,11.4
281,Brook Lopez\lopezbr01,C,32,MIL,35,948,0.467,0.593,0.351,0.558,0.82,0.59,0.21,0.519,101,112,95,104,105,103,84,132,12.2,11.6
282,Robin Lopez\lopezro01,C,32,WAS,33,664,0.594,0.617,0.308,0.606,0.697,0.635,0.422,0.072,128,117,83,113,90,111,170,18,24.5,27
283,Kevin Love\loveke01,PF,32,CLE,2,46,0.333,0.333,0.333,0.417,0.8,0.47,0.278,0.5,72,63,90,78,103,82,112,127,-4.3,-4.1
284,Kyle Lowry\lowryky01,PG,34,TOR,28,962,0.466,0.53,0.41,0.576,0.865,0.621,0.286,0.537,100,100,111,107,111,109,115,136,27.8,40.6
285,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,34,669,0.389,0.44,0.363,0.509,0.769,0.527,0.118,0.661,84,83,99,95,99,92,47,167,-12.6,-20.8
286,Trey Lyles\lylestr01,PF,25,SAS,18,284,0.473,0.564,0.371,0.561,0.632,0.577,0.257,0.473,102,107,101,104,81,101,103,120,3.5,0.8
287,Thon Maker\makerth01,C,23,CLE,8,76,0.556,0.625,0,0.556,0.909,0.657,0.611,0.111,120,118,,103,117,115,246,28,0.7,3.9
288,Théo Maledon\maledth01,PG,19,OKC,30,767,0.396,0.455,0.355,0.5,0.733,0.519,0.141,0.585,85,86,96,93,94,91,57,148,-15.9,-23.5
289,Karim Mané\maneka01,PG,20,ORL,6,56,0.111,0,0.5,0.167,1,0.325,0.444,0.222,24,,136,31,128,57,179,56,-6.7,-5.3
290,Nico Mannion\mannini01,PG,19,GSW,6,36,0.231,0.25,0.222,0.308,0.25,0.305,0.308,0.692,50,47,60,57,32,53,124,175,-6,-7.9
291,Terance Mann\mannte01,SG,24,LAC,34,520,0.484,0.533,0.344,0.528,0.75,0.561,0.258,0.258,104,101,93,98,96,98,104,65,-2.3,-2.9
292,Boban Marjanović\marjabo01,C,32,DAL,18,141,0.5,0.529,0,0.5,0.714,0.525,0.194,0.056,108,100,,93,92,92,78,14,-5.4,-7.4
293,Lauri Markkanen\markkla01,PF,23,CHI,14,426,0.513,0.655,0.396,0.622,0.844,0.654,0.243,0.546,110,124,107,116,109,114,98,138,31.1,33.8
294,Naji Marshall\marshna01,SF,23,NOP,3,8,0,0,0,0,0.5,0.174,1,0.5,,,,,64,30,402,127,-2.1,-2.3
295,Caleb Martin\martica02,SF,25,CHO,26,395,0.413,0.474,0.333,0.485,0.538,0.495,0.196,0.429,89,90,90,90,69,87,79,109,-14,-22.1
296,Cody Martin\martico01,SF,25,CHO,23,268,0.516,0.659,0.2,0.547,0.8,0.57,0.156,0.312,111,125,54,102,103,100,63,79,1.2,-0.2
297,Kelan Martin\martike03,SF,25,IND,12,48,0.35,0.455,0.222,0.4,1,0.431,0.1,0.45,75,86,60,74,128,75,40,114,-5.5,-5.9
298,Kenyon Martin Jr.\martike04,SF,20,HOU,7,69,0.37,0.391,0.25,0.389,0.4,0.394,0.185,0.148,80,74,68,72,51,69,74,38,-8,-10.4
299,Frank Mason III\masonfr01,PG,26,ORL,4,79,0.375,0.368,0.4,0.417,0.714,0.462,0.292,0.208,81,70,109,78,92,81,117,53,-5.8,-6
300,Garrison Mathews\mathega01,SG,24,WAS,27,440,0.423,0.48,0.408,0.585,0.92,0.655,0.406,0.797,91,91,111,109,118,115,163,202,11.8,24.2
301,Dakota Mathias\mathida01,SG,25,PHI,8,123,0.396,0.5,0.308,0.479,0.333,0.474,0.125,0.542,85,95,83,89,43,83,50,137,-5.6,-9.9
302,Wesley Matthews\matthwe02,SG,34,LAL,30,605,0.356,0.423,0.337,0.487,0.8,0.51,0.127,0.78,77,80,91,91,103,89,51,198,-11.8,-15.5
303,Tyrese Maxey\maxeyty01,SG,20,PHI,32,519,0.45,0.503,0.273,0.481,0.88,0.504,0.103,0.227,97,95,74,90,113,88,42,58,-27.1,-34.3
304,Skylar Mays\mayssk01,SG,23,ATL,16,132,0.388,0.423,0.348,0.469,0.889,0.545,0.367,0.469,83,80,94,87,114,95,148,119,-6.7,-3.1
305,Patrick McCaw\mccawpa01,SF,25,TOR,3,20,,,,,,,,,,,,,,,,,0,0
306,CJ McCollum\mccolcj01,SG,29,POR,13,440,0.473,0.513,0.441,0.594,0.844,0.62,0.173,0.55,102,97,120,111,109,108,70,139,29.5,27.1
307,T.J. McConnell\mccontj01,PG,28,IND,31,781,0.525,0.546,0.333,0.541,0.5,0.543,0.099,0.099,113,104,90,101,64,95,40,25,1.4,-11
308,Jalen McDaniels\mcdanja01,SF,23,CHO,17,213,0.439,0.535,0.261,0.485,0.684,0.518,0.288,0.348,95,101,71,90,88,91,116,88,-6.9,-8
309,Jaden McDaniels\mcdanja02,PF,20,MIN,30,574,0.383,0.439,0.337,0.477,0.522,0.484,0.154,0.557,82,83,92,89,67,85,62,141,-18.2,-27.9
310,Doug McDermott\mcderdo01,PF,29,IND,33,852,0.501,0.615,0.354,0.579,0.818,0.603,0.166,0.435,108,117,96,108,105,105,67,110,27.2,21.9
311,Sean McDermott\mcderse01,SF,24,MEM,8,126,0.435,0.625,0.333,0.543,1,0.605,0.261,0.652,94,118,90,101,128,106,105,165,0.3,1.7
312,JaVale McGee\mcgeeja01,C,33,CLE,27,411,0.488,0.51,0.294,0.503,0.609,0.522,0.264,0.098,105,97,80,94,78,91,106,25,-12,-19.1
313,Rodney McGruder\mcgruro01,SG,29,DET,11,96,0.485,0.45,0.538,0.591,0.833,0.617,0.182,0.394,104,85,146,110,107,108,73,100,3.5,3.3
314,Alfonzo McKinnie\mckinal01,SF,28,LAL,18,84,0.533,0.611,0.417,0.617,0.625,0.626,0.267,0.4,115,116,113,115,80,110,107,101,4.8,3.7
315,Jordan McLaughlin\mclaujo01,PG,24,MIN,24,467,0.376,0.39,0.348,0.433,0.8,0.447,0.071,0.326,81,74,94,80,103,78,29,83,-29.6,-36.2
316,Ben McLemore\mclembe01,SG,27,HOU,24,372,0.357,0.474,0.314,0.471,0.739,0.496,0.164,0.729,77,90,85,88,95,87,66,185,-18.5,-22.6
317,Nicolò Melli\mellini01,PF,30,NOP,16,163,0.257,0.333,0.241,0.357,0.8,0.39,0.143,0.829,55,63,66,66,103,68,57,210,-12.6,-13.5
318,De'Anthony Melton\meltode01,PG,22,MEM,19,394,0.468,0.518,0.413,0.566,0.762,0.583,0.133,0.475,101,98,112,105,98,102,53,120,9.2,3.8
319,Sam Merrill\merrisa01,SG,24,MIL,13,77,0.353,0.167,0.455,0.5,1,0.531,0.118,0.647,76,32,123,93,128,93,47,164,-1.3,-1.4
320,Chimezie Metu\metuch01,C,23,SAC,11,71,0.5,0.518,0.333,0.517,0.667,0.545,0.3,0.1,108,98,90,96,86,95,121,25,-1.2,-1.8
321,Khris Middleton\middlkh01,SF,29,MIL,35,1164,0.5,0.535,0.436,0.577,0.875,0.615,0.226,0.353,108,101,118,107,112,108,91,90,42.2,50.4
322,Darius Miller\milleda01,SF,30,OKC,12,111,0.458,0.667,0.429,0.646,1,0.671,0.125,0.875,99,126,116,120,128,117,50,222,5.2,5.1
323,Paul Millsap\millspa01,PF,35,DEN,26,621,0.524,0.604,0.41,0.608,0.695,0.63,0.312,0.413,113,114,111,113,89,110,126,105,26.8,25.2
324,Patty Mills\millspa02,PG,32,SAS,31,798,0.452,0.534,0.407,0.583,0.895,0.604,0.117,0.643,97,101,110,108,115,106,47,163,29.7,22.3
325,Shake Milton\miltosh01,SG,24,PHI,28,703,0.441,0.502,0.313,0.492,0.887,0.555,0.317,0.324,95,95,85,92,114,97,127,82,-27.9,-11.7
326,Donovan Mitchell\mitchdo01,SG,24,UTA,34,1154,0.421,0.451,0.382,0.504,0.824,0.549,0.266,0.433,91,86,104,94,106,96,107,110,-46.2,-34.6
